"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding","preferred"
"101195","101195","Antwerpen Stadspark","51.214080","4.411680","https://www.delijn.be/nl/haltes/101195","1","2"
"101196","101196","Weert Theresiakapel","51.114140","4.213040","https://www.delijn.be/nl/haltes/101196","0","2"
"101197","101197","Weert Polder","51.116150","4.208720","https://www.delijn.be/nl/haltes/101197","0","2"
"101198","101198","Weert Dreef","51.114130","4.205160","https://www.delijn.be/nl/haltes/101198","0","2"
"101199","101199","Weert Vijverland","51.109740","4.199270","https://www.delijn.be/nl/haltes/101199","0","2"
"101200","101200","Antwerpen Ballaarstraat","51.204260","4.404550","https://www.delijn.be/nl/haltes/101200","0","2"
"101201","101201","Borgerhout Te Boelaarpark","51.198206","4.454748","https://www.delijn.be/nl/haltes/101201","0","2"
"101203","101203","Weert Weert","51.102220","4.180630","https://www.delijn.be/nl/haltes/101203","0","2"
"101204","101204","Weert Kasteel","51.111853","4.216383","https://www.delijn.be/nl/haltes/101204","0","2"
"101205","101205","Edegem Baron De Celleslaan","51.155760","4.434640","https://www.delijn.be/nl/haltes/101205","0","2"
"101206","101206","Weert Den Hoek","51.107900","4.221270","https://www.delijn.be/nl/haltes/101206","0","2"
"101207","101207","Weert Kachel","51.105200","4.199660","https://www.delijn.be/nl/haltes/101207","0","2"
"101209","101209","Branst Riddermoerstraat","51.076020","4.212610","https://www.delijn.be/nl/haltes/101209","0","2"
"101210","101210","Deurne Baron Leroystraat","51.226370","4.472520","https://www.delijn.be/nl/haltes/101210","0","2"
"101211","101211","Mariekerke Bornemstraat","51.063440","4.206250","https://www.delijn.be/nl/haltes/101211","0","2"
"101212","101212","Deurne Drakenhoflaan","51.197144","4.459254","https://www.delijn.be/nl/haltes/101212","0","2"
"101213","101213","Boortmeerbeek Schippersbos","50.976912","4.562154","https://www.delijn.be/nl/haltes/101213","0","2"
"101214","101214","Boortmeerbeek Schippersbos","50.976776","4.562208","https://www.delijn.be/nl/haltes/101214","0","2"
"101215","101215","Deurne Baron Leroystraat","51.226100","4.472520","https://www.delijn.be/nl/haltes/101215","0","2"
"101216","101216","Berlaar Smidstraat","51.084600","4.656140","https://www.delijn.be/nl/haltes/101216","0","2"
