"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"2058_2--GBUS26A_1","1","5b","Meulestede - Muide - Tolpoort - Zuid","Meulestede - Muide - Tolpoort - Zuid","3","https://www.delijn.be/nl/lijnen/2058/?richtingCode=1","EF7D00","000000"
"2065_2--206525O_0","1","6","Zuid - Dampoort - Ham - P+R Muide","Zuid - Dampoort - Ham - P+R Muide","3","https://www.delijn.be/nl/lijnen/2065/?richtingCode=0","8C2B87","FFFFFF"
"2065_2--206525O_1","1","6","P+R Muide - Ham - Dampoort - Zuid","P+R Muide - Ham - Dampoort - Zuid","3","https://www.delijn.be/nl/lijnen/2065/?richtingCode=1","8C2B87","FFFFFF"
"2065_2--206526A_0","1","6","Zuid - Dampoort - Ham - P+R Muide","Zuid - Dampoort - Ham - P+R Muide","3","https://www.delijn.be/nl/lijnen/2065/?richtingCode=0","8C2B87","FFFFFF"
"2065_2--206526A_1","1","6","P+R Muide - Ham - Dampoort - Zuid","P+R Muide - Ham - Dampoort - Zuid","3","https://www.delijn.be/nl/lijnen/2065/?richtingCode=1","8C2B87","FFFFFF"
"2097_2--GBUS25F_0","1","9a","Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge","Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2097/?richtingCode=0","822A3A","FFFFFF"
"2097_2--GBUS25F_1","1","9a","Gentbrugge - Sint-Pietersstation - Kolegem - Wondelgem","Gentbrugge - Sint-Pietersstation - Kolegem - Wondelgem","3","https://www.delijn.be/nl/lijnen/2097/?richtingCode=1","822A3A","FFFFFF"
"2097_2--GBUS26A_0","1","9a","Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge","Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2097/?richtingCode=0","822A3A","FFFFFF"
"2097_2--GBUS26A_1","1","9a","Gentbrugge - Sint-Pietersstation - Kolegem - Wondelgem","Gentbrugge - Sint-Pietersstation - Kolegem - Wondelgem","3","https://www.delijn.be/nl/lijnen/2097/?richtingCode=1","822A3A","FFFFFF"
"2098_2--GBUS25F_0","1","9b","Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge","Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2098/?richtingCode=0","822A3A","FFFFFF"
"2098_2--GBUS25F_1","1","9b","Gentbrugge - Sint-Pietersstation - Mariakerke - Wondelgem","Gentbrugge - Sint-Pietersstation - Mariakerke - Wondelgem","3","https://www.delijn.be/nl/lijnen/2098/?richtingCode=1","822A3A","FFFFFF"
"2098_2--GBUS26A_0","1","9b","Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge","Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2098/?richtingCode=0","822A3A","FFFFFF"
"2098_2--GBUS26A_1","1","9b","Gentbrugge - Sint-Pietersstation - Mariakerke - Wondelgem","Gentbrugge - Sint-Pietersstation - Mariakerke - Wondelgem","3","https://www.delijn.be/nl/lijnen/2098/?richtingCode=1","822A3A","FFFFFF"
"2100_2--AVA-25P_0","1","1","Ronse/Renaix Scheldekouter - Station - AZ Glorieux","Ronse/Renaix Scheldekouter - Station - AZ Glorieux","3","https://www.delijn.be/nl/lijnen/2100/?richtingCode=0","8C2B87","FFFFFF"
"2100_2--AVA-25P_1","1","1","Ronse/Renaix AZ Glorieux - Station - Scheldekouter","Ronse/Renaix AZ Glorieux - Station - Scheldekouter","3","https://www.delijn.be/nl/lijnen/2100/?richtingCode=1","8C2B87","FFFFFF"
"2100_2--AVA-26A_0","1","1","Ronse/Renaix Scheldekouter - Station - AZ Glorieux","Ronse/Renaix Scheldekouter - Station - AZ Glorieux","3","https://www.delijn.be/nl/lijnen/2100/?richtingCode=0","8C2B87","FFFFFF"
"2100_2--AVA-26A_1","1","1","Ronse/Renaix AZ Glorieux - Station - Scheldekouter","Ronse/Renaix AZ Glorieux - Station - Scheldekouter","3","https://www.delijn.be/nl/lijnen/2100/?richtingCode=1","8C2B87","FFFFFF"
"2103_2--GBUS25F_0","1","10","Mariakerke - Korenmarkt - Dampoort - Snellaertplein","Mariakerke - Korenmarkt - Dampoort - Snellaertplein","3","https://www.delijn.be/nl/lijnen/2103/?richtingCode=0","E6007E","FFFFFF"
"2103_2--GBUS25F_1","1","10","Snellaertplein - Dampoort - Korenmarkt - Mariakerke","Snellaertplein - Dampoort - Korenmarkt - Mariakerke","3","https://www.delijn.be/nl/lijnen/2103/?richtingCode=1","E6007E","FFFFFF"
"2103_2--GBUS26A_0","1","10","Mariakerke - Korenmarkt - Dampoort - Snellaertplein","Mariakerke - Korenmarkt - Dampoort - Snellaertplein","3","https://www.delijn.be/nl/lijnen/2103/?richtingCode=0","E6007E","FFFFFF"
"2103_2--GBUS26A_1","1","10","Snellaertplein - Dampoort - Korenmarkt - Mariakerke","Snellaertplein - Dampoort - Korenmarkt - Mariakerke","3","https://www.delijn.be/nl/lijnen/2103/?richtingCode=1","E6007E","FFFFFF"
"2107_2--AVA-25P_0","1","1","AZORG Merestraat - Station - Oude Abdijstraat","AZORG Merestraat - Station - Oude Abdijstraat","3","https://www.delijn.be/nl/lijnen/2107/?richtingCode=0","C8D300","000000"
"2107_2--AVA-25P_1","1","1","Aalst Oude Abdijstraat - Station - AZORG Merestraat","Aalst Oude Abdijstraat - Station - AZORG Merestraat","3","https://www.delijn.be/nl/lijnen/2107/?richtingCode=1","C8D300","000000"
"2107_2--AVA-26A_0","1","1","AZORG Merestraat - Station - Oude Abdijstraat","AZORG Merestraat - Station - Oude Abdijstraat","3","https://www.delijn.be/nl/lijnen/2107/?richtingCode=0","C8D300","000000"
"2107_2--AVA-26A_1","1","1","Aalst Oude Abdijstraat - Station - AZORG Merestraat","Aalst Oude Abdijstraat - Station - AZORG Merestraat","3","https://www.delijn.be/nl/lijnen/2107/?richtingCode=1","C8D300","000000"
"2111_2--GBUS25F_0","1","11","Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge","Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2111/?richtingCode=0","0056A4","FFFFFF"
"2111_2--GBUS25F_1","1","11","Gentbrugge - Dampoort - Korenmarkt - Blaarmeersen","Gentbrugge - Dampoort - Korenmarkt - Blaarmeersen","3","https://www.delijn.be/nl/lijnen/2111/?richtingCode=1","0056A4","FFFFFF"
"2111_2--GBUS26A_0","1","11","Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge","Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge","3","https://www.delijn.be/nl/lijnen/2111/?richtingCode=0","0056A4","FFFFFF"
"2111_2--GBUS26A_1","1","11","Gentbrugge - Dampoort - Korenmarkt - Blaarmeersen","Gentbrugge - Dampoort - Korenmarkt - Blaarmeersen","3","https://www.delijn.be/nl/lijnen/2111/?richtingCode=1","0056A4","FFFFFF"
"2127_2--GBUS25F_0","1","12a","Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries","Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries","3","https://www.delijn.be/nl/lijnen/2127/?richtingCode=0","C8D300","000000"
"2127_2--GBUS25F_1","1","12a","Achtendries - P+R Oostakker - Korenmarkt - Drongen - Leerne","Achtendries - P+R Oostakker - Korenmarkt - Drongen - Leerne","3","https://www.delijn.be/nl/lijnen/2127/?richtingCode=1","C8D300","000000"
"2127_2--GBUS26A_0","1","12a","Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries","Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries","3","https://www.delijn.be/nl/lijnen/2127/?richtingCode=0","C8D300","000000"
"2127_2--GBUS26A_1","1","12a","Achtendries - P+R Oostakker - Korenmarkt - Drongen - Leerne","Achtendries - P+R Oostakker - Korenmarkt - Drongen - Leerne","3","https://www.delijn.be/nl/lijnen/2127/?richtingCode=1","C8D300","000000"
